,name,category
226,Everett Shelton,Coach
227,Dallas Shirley,Referee
228,Wilt Chamberlain,Player
229,"Sam Barry,",Coach
230,James Enright,Referee
231,Edgar Hickey,Coach
232,John McLendon,Coach
233,Ray Meyer,Coach
234,Pete Newell,Coach
235,Paul Arizin,Player
236,Joe Fulks,Player
237,Cliff Hagan,Player
238,John Nucatola,Referee
239,Jim Pollard,Player
240,Elgin Baylor,Player
241,Charles Cooper,Player
242,Lauren Gale,Player
243,William Johnson,Player
244,Frank McGuire,Coach
245,Tom Gola,Player
246,Ed Krause,Player
247,Harry Litwack,Coach
248,Bill Sharman,Player
249,Bill Russell,Player
250,Joseph Brennan,Player
251,Emil Liston,Contributor
252,Robert Vandivier,Player
253,Harry Fisher,Contributor
254,Maurice Podoloff,Contributor
255,Ernest Schmidt,Player
256,John Beckman,Player
257,Bruce Drake,Coach
258,Arthur Lonborg,Coach
259,Elmer Ripley,Contributor
260,Dolph Schayes,Player
261,John Wooden,Coach
262,Edgar Diddle,Coach
263,Robert Douglas,Contributor
264,Paul Endacott,Player
265,Max Friedman,Player
266,Edward Gottlieb,Contributor
267,Clifford Wells,Contributor
268,Bob Cousy,Player
269,Bob Pettit,Player
270,Abe Saperstein,Contributor
271,Bernard Carnevale,Coach
272,Bob Davies,Player
273,Red Auerbach,Coach
274,Dutch Dehnert,Player
275,Henry Iba,Coach
276,Adolph Rupp,Coach
277,Charles Taylor,Contributor
278,Clair Bee,Contributor
279,Howard Cann,Coach
280,Amory Gill,Coach
281,Alvin Julian,Coach
282,Everett Dean,Coach
283,Joe Lapchick,Player
284,Walter Brown,Contributor
285,Paul Hinkle,Contributor
286,Howard Hobson,Coach
287,William Mokray,Contributor
288,John Bunn,Contributor
289,Harold Foster,Player
290,Nat Holman,Player
291,Ned Irish,Contributor
292,William Jones,Contributor
293,Kenneth Loeffler,Coach
294,John Russell,Player
295,New York Rens,Team
296,Robert Gruenig,Player
297,William Reid,Contributor
298,Jack McCracken,Player
299,Frank Morgenweck,Contributor
300,Harlan Page,Player
301,Barney Sedran,Player
302,Lynn St. John,Contributor
303,John Thompson,Player
304,Buffalo Germans,Team
305,Bergnard Borgmann,Player
306,Forrest DeBernardi,Player
307,George Hoyt,Referee
308,Bob Kurland,Player
309,John O'Brien,Contributor
310,Andy Phillip,Player
311,Ernest Quigley,Referee
312,John Roosma,Player
313,Leonard Sachs,Coach
314,Arthur Schabinger,Contributor
315,Christian Steinmetz,Player
316,David Tobey,Referee
317,Arthur Trester,Contributor
318,Edward Wachter,Player
319,David Walsh,Referee
320,Ernest Blood,Coach
321,Victor Hanson,Player
322,George Hepbron,Referee
323,Frank Keaney,Coach
324,Ward Lambert,Coach
325,Ed Macauley,Player
